城市,特征,重要性,更新时间
南宁,湿度,0.696,2026-04-15 13:41:29
南宁,温度,0.6799,2026-04-15 13:41:29
南宁,风速,0.5428,2026-04-15 13:41:29
南宁,AQI_roll_mean_3,0.5042,2026-04-15 13:41:29
南宁,AQI_lag_1,0.4657,2026-04-15 13:41:29
南宁,小时,0.3769,2026-04-15 13:41:29
南宁,AQI_lag_2,0.3668,2026-04-15 13:41:29
南宁,降水量,0.084,2026-04-15 13:41:29
南平,湿度,0.7254,2026-04-15 13:41:29
南平,温度,0.7071,2026-04-15 13:41:29
南平,风速,0.5747,2026-04-15 13:41:29
南平,AQI_roll_mean_3,0.5223,2026-04-15 13:41:29
南平,AQI_lag_1,0.4898,2026-04-15 13:41:29
南平,小时,0.464,2026-04-15 13:41:29
南平,AQI_lag_2,0.4196,2026-04-15 13:41:29
南平,降水量,0.0929,2026-04-15 13:41:29
南昌,湿度,0.6616,2026-04-15 13:41:29
南昌,温度,0.634,2026-04-15 13:41:29
南昌,风速,0.5063,2026-04-15 13:41:29
南昌,AQI_roll_mean_3,0.4327,2026-04-15 13:41:29
南昌,小时,0.3713,2026-04-15 13:41:29
南昌,AQI_lag_1,0.3689,2026-04-15 13:41:29
南昌,AQI_lag_2,0.3537,2026-04-15 13:41:29
南昌,降水量,0.0794,2026-04-15 13:41:29
南通,湿度,0.6738,2026-04-15 13:41:29
南通,温度,0.6642,2026-04-15 13:41:29
南通,风速,0.5392,2026-04-15 13:41:29
南通,AQI_roll_mean_3,0.4976,2026-04-15 13:41:29
南通,小时,0.4973,2026-04-15 13:41:29
南通,AQI_lag_1,0.4805,2026-04-15 13:41:29
南通,AQI_lag_2,0.3721,2026-04-15 13:41:29
南通,气压,0.097,2026-04-15 13:41:29
南阳,湿度,0.6471,2026-04-15 13:41:29
南阳,温度,0.6245,2026-04-15 13:41:29
南阳,风速,0.5932,2026-04-15 13:41:29
南阳,AQI_roll_mean_3,0.398,2026-04-15 13:41:29
南阳,AQI_lag_1,0.3608,2026-04-15 13:41:29
南阳,小时,0.3249,2026-04-15 13:41:29
南阳,AQI_lag_2,0.2904,2026-04-15 13:41:29
南阳,降水量,0.0469,2026-04-15 13:41:29
博尔塔拉蒙古自治州,湿度,0.662,2026-04-15 13:41:29
