城市,日期,平均AQI,峰值AQI,污染等级,预警颜色,预警提示
呼伦贝尔,2026-03-31,43.5,43.6,优,绿色,无预警
呼和浩特,2026-03-25,51.1,51.1,良,黄色,无预警
呼和浩特,2026-03-26,51.1,51.1,良,黄色,无预警
呼和浩特,2026-03-27,51.1,51.1,良,黄色,无预警
呼和浩特,2026-03-28,51.1,51.1,良,黄色,无预警
呼和浩特,2026-03-29,51.1,51.1,良,黄色,无预警
呼和浩特,2026-03-30,51.1,51.1,良,黄色,无预警
呼和浩特,2026-03-31,51.1,51.1,良,黄色,无预警
和田地区,2026-03-25,54.2,54.3,良,黄色,无预警
和田地区,2026-03-26,54.2,54.3,良,黄色,无预警
和田地区,2026-03-27,54.2,54.3,良,黄色,无预警
和田地区,2026-03-28,54.2,54.3,良,黄色,无预警
和田地区,2026-03-29,54.2,54.3,良,黄色,无预警
和田地区,2026-03-30,54.2,54.3,良,黄色,无预警
